needs_review,name,id,power,total kills,t5 kills,t4 kills,t3 kills,t2 kills,t1 kills,deads,rss gathered,rss assistance,helps
False,RABNR —,(ID: 72664305),78493489,36990063,2645431,31744789,1360082,602094,637667,1744946,1271863085,714400000,16481
False,SevenZeroOne ## —,(ID: 70176209),74153213,60224426,5016679,44092870,4683121,3267940,3163816,4227851,2699592350,1243492898,32109
True,ChaBoyJosh # — |,(ID: 26427044),70465173,28747734,6843678,17435883,743001,149022,399014,3206703,6330807410,348261793,32390
False,Pref,(ID: 72398134),70392586,120722939,5937743,63254552,9790739,9861561,31878344,2379694,1999149255,797373823,17099
False,JIPoBPATCRZIW ©,(ID: 73809274),69708332,27936581,3011388,18943509,474387,580629,4926668,864561,1664937863,289753467,5441
False,BABKD = —,(ID: 72142500),68263257,79869845,4552631,36924099,5618318,13867751,18907046,1239931,3379349966,1500845001,14685
True,semy79 ©—,(ID: 14754430),68130379,21479368,1603619,9107230,356241,271154,1380112,1997563,4155422897,1520174460,15567
True,Bloodfl ©.,(ID: 4554984),67614755,150971393,4397859,13550604,734707,595633,3761347,7299934,14253333499,9126537880,53138
False,Jftinron §  — —,(ID: 43844214),65998698,21753407,4511590,8081285,2132299,1272408,5755825,1688143,7819569637,806630316,37610
False,BPMBMB ©,(ID: 62407804),65794066,41574798,2374506,19452309,6745315,8458074,4544594,1742013,1956489972,2837860005,11875
False,vkKManieanan =  —— |,(ID: 72580563),65622717,13252875,625544,9767620,785620,473848,1600243,3788421,925463259,118384081,16769
False,Ivarbonles oo  — |,(ID: 70669319),65587069,32648321,2858078,24314112,2579242,1919058,977831,1252467,3162771545,821672695,9446
False,Askedladdss |,(ID: 72353132),63970250,128672183,9081885,83225062,3731803,1878832,30754601,7396645,578252887,370499041,10717
False,JFZRBW —,(ID: 45063303),63795435,8330378,444410,5676846,1743523,262137,203462,72499,7729728123,2936385505,25103
False,HWSFAEQ —,(ID: 44775026),61095045,16959709,916139,1788571,663186,1160995,12430818,630816,6345163084,1268439598,33717
False,J+ 6BAdeath — |,(ID: 72687881),108529946,122358288,12565293,74500437,8637934,10937495,15717129,1132566,753914041,1760341841,17509
False,xX Burn UnitXx — |,(ID: 70673182),80892069,8826475,680141,4878861,1229881,1450831,586761,1278801,1194576116,441416352,6514
False,§550Coupe eo  — |,(ID: 44210517),79397154,40013015,2057989,7820964,1270463,849885,28013714,808187,7627884676,1198810237,35391
